,ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,label,AQI
922,0.1353,0.138,0.1397,0.1213,0.1191,0.0624,0.0407,-0.0022,-0.009151414,0.70060587,18,4,133
952,0.0662,0.0784,0.1062,0.1032,0.1913,0.2281,0.1877,0.0881,0.299151104,0.893952518,31,4,167
544,0.2811,0.2879,0.2889,0.2954,0.3501,0.3328,0.2487,0.0547,0.084740511,0.764683275,63,2,33
662,0.0191,0.0362,0.067,0.0549,0.2615,0.1784,0.1085,0.2066,0.652970923,1.073764836,271,2,42
500,0.0485,0.0533,0.059,0.0576,0.1117,0.093,0.0636,0.0541,0.319551093,0.905290612,300,2,30
621,0.036,0.046,0.0701,0.059,0.2477,0.1661,0.1058,0.1887,0.615259211,1.056058337,303,2,38
400,0.1129,0.1113,0.1196,0.1071,0.1334,0.1217,0.0972,0.0263,0.109355509,0.780612266,47,1,25
465,0.0802,0.0927,0.1144,0.1211,0.2208,0.2377,0.1992,0.0997,0.291605733,0.889722278,79,2,28
496,0.0577,0.0886,0.1242,0.1284,0.276,0.2166,0.1467,0.1476,0.364985163,0.930045786,111,2,30
778,0.3189,0.3279,0.3381,0.3447,0.4104,0.4056,0.3269,0.0657,0.087008343,0.766164697,284,3,63
826,0.0361,0.0457,0.0649,0.0636,0.2032,0.1344,0.0845,0.1396,0.523238381,1.011552461,351,3,78
890,0.1025,0.1087,0.1218,0.1145,0.1441,0.157,0.1413,0.0296,0.11446249,0.783876579,34,4,113
864,0.2687,0.2778,0.29,0.3043,0.3681,0.3733,0.2978,0.0638,0.094883998,0.771287234,18,3,100
594,0.0568,0.0802,0.1231,0.1213,0.2989,0.2125,0.1515,0.1776,0.422655878,0.960549779,127,2,36
234,0.0494,0.0674,0.0824,0.0802,0.1277,0.1057,0.0732,0.0475,0.228475228,0.853507603,364,1,21
478,0.6434,0.6686,0.6945,0.714,0.7718,0.6317,0.5164,0.0578,0.038901602,0.734099177,284,2,29
958,0.0554,0.0662,0.0921,0.0817,0.1228,0.1503,0.1469,0.0411,0.200977995,0.837244286,31,4,177
111,0.0457,0.0586,0.0955,0.0798,0.3785,0.2614,0.1369,0.2987,0.651756491,1.073199185,364,1,17
71,0.024,0.034,0.0692,0.0559,0.2469,0.1484,0.0788,0.191,0.630779392,1.063381113,300,1,15
939,0.0504,0.0616,0.0886,0.0746,0.2015,0.1818,0.1197,0.1269,0.459616081,0.97959996,31,4,147
