ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,AQI
0.5363,0.5441,0.5619,0.5736,0.6085,0.5325,0.434,0.0349,0.029523729,0.727683811,332,20
0.5346,0.543,0.557,0.5664,0.604,0.53,0.4218,0.0376,0.032125769,0.729469512,332,20
0.0947,0.0956,0.0832,0.072,0.1629,0.2182,0.1895,0.0909,0.38697318,0.941792536,2,20
0.0952,0.0959,0.0837,0.0725,0.1621,0.2164,0.1886,0.0896,0.381926684,0.939109516,2,20
0.0466,0.061,0.0926,0.0897,0.3035,0.2774,0.1625,0.2138,0.543743642,1.021637725,348,20
0.0511,0.0643,0.0943,0.0908,0.3037,0.2775,0.1616,0.2129,0.539670469,1.019642324,348,20
0.0719,0.0804,0.0984,0.0991,0.1885,0.1735,0.1279,0.0894,0.310848401,0.90047121,111,20
0.0652,0.0755,0.0964,0.0973,0.1891,0.1734,0.1276,0.0918,0.320530726,0.905831511,111,20
0.0931,0.1085,0.1364,0.1316,0.2437,0.1645,0.1204,0.1121,0.298694378,0.893697028,287,20
0.0652,0.088,0.1329,0.126,0.2431,0.1632,0.1164,0.1171,0.317258196,0.904023338,287,20
0.0762,0.0933,0.1079,0.1103,0.1881,0.1636,0.115,0.0778,0.260723861,0.872194852,335,20
0.0616,0.0808,0.1038,0.1074,0.1848,0.1576,0.1093,0.0774,0.264887064,0.87457822,335,20
0.0522,0.0651,0.0955,0.0926,0.1983,0.1546,0.1038,0.1057,0.363355105,0.92916904,335,20
0.0334,0.051,0.0909,0.0893,0.1927,0.1513,0.1008,0.1034,0.366666667,0.930949336,335,20
0.0371,0.0446,0.0673,0.0623,0.241,0.1626,0.0916,0.1787,0.589185625,1.043640563,303,20
0.0367,0.0431,0.0637,0.0577,0.2415,0.1612,0.0882,0.1838,0.614304813,1.055606372,303,20
0.0538,0.0651,0.0928,0.0857,0.1769,0.1244,0.0822,0.0912,0.347296268,0.920486973,364,20
0.0655,0.0735,0.0952,0.0873,0.1771,0.1237,0.0803,0.0898,0.339636914,0.916317038,364,20
0.0827,0.0836,0.0887,0.0787,0.1851,0.1208,0.0748,0.1064,0.403335861,0.950439825,319,20
0.0405,0.0491,0.0683,0.0572,0.1854,0.1207,0.0734,0.1282,0.52844188,1.014121235,319,20
0.0397,0.0479,0.0725,0.0638,0.1096,0.0891,0.051,0.0458,0.264129181,0.874144828,63,20
0.0272,0.0384,0.0687,0.0602,0.1082,0.0888,0.0497,0.048,0.285035629,0.886022364,63,20
0.0357,0.0431,0.0646,0.0556,0.0345,0.0212,0.019,-0.0211,-0.23418424,0.515573235,303,20
0.0422,0.048,0.0673,0.058,0.0354,0.0204,0.0178,-0.0226,-0.241970021,0.507966513,303,20
0.3273,0.332,0.3385,0.3457,0.4195,0.4126,0.3708,0.0738,0.096445374,0.772298759,332,21
0.3275,0.3321,0.3372,0.3432,0.4186,0.4118,0.3619,0.0754,0.098976109,0.773935468,332,21
0.5407,0.5454,0.5408,0.5598,0.5867,0.4659,0.3465,0.0269,0.023462713,0.723507231,332,21
0.5399,0.5447,0.5393,0.555,0.5836,0.4628,0.3363,0.0286,0.025118567,0.724650651,332,21
0.4625,0.4829,0.4692,0.4753,0.5209,0.3827,0.3201,0.0456,0.045773941,0.738765146,143,21
0.471,0.4887,0.4711,0.479,0.5249,0.3888,0.3179,0.0459,0.045721685,0.738729778,143,21
0.2603,0.2665,0.2888,0.2883,0.3705,0.3529,0.2867,0.0822,0.124772313,0.7904254,316,21
0.2567,0.2624,0.2861,0.2852,0.3676,0.349,0.2822,0.0824,0.12622549,0.791344104,316,21
0.1374,0.135,0.1225,0.1106,0.2511,0.3291,0.2806,0.1405,0.388443461,0.942572788,319,21
0.1285,0.128,0.1177,0.106,0.2504,0.3267,0.2762,0.1444,0.405162738,0.951400409,319,21
0.0922,0.139,0.1506,0.1482,0.2198,0.312,0.2638,0.0716,0.194565217,0.833405794,300,21
0.1,0.1455,0.1501,0.1487,0.225,0.3234,0.2601,0.0763,0.204174472,0.839151042,300,21
0.2862,0.2857,0.2927,0.2909,0.3497,0.2936,0.24,0.0588,0.091788948,0.769278199,159,21
